Date,HE,RT Demand
1/16/2020,24,13108.88
1/17/2020,1,12749.52
1/17/2020,2,12552.89
1/17/2020,3,12304.18
1/17/2020,4,12432.45
1/17/2020,5,12875.91
1/17/2020,6,13738.38
1/17/2020,7,15498.28
1/17/2020,8,16552.37
1/17/2020,9,16463.67
1/17/2020,10,15858.82
1/17/2020,11,15432.26
1/17/2020,12,15004.38
1/17/2020,13,14650.32
1/17/2020,14,14714.08
1/17/2020,15,15103.54
1/17/2020,16,15877.73
1/17/2020,17,16901.07
1/17/2020,18,17750.34
1/17/2020,19,17665.96
1/17/2020,20,17372.82
1/17/2020,21,16880.12
1/17/2020,22,16244.99
1/17/2020,23,15344.54
1/17/2020,24,14430.51
1/18/2020,1,13772.86
1/18/2020,2,13366.69
1/18/2020,3,13158.81
1/18/2020,4,13107.2
1/18/2020,5,13208.48
1/18/2020,6,13579.23
1/18/2020,7,14277.05
1/18/2020,8,15047.54
1/18/2020,9,15713.13
1/18/2020,10,15860.92
1/18/2020,11,15763.03
1/18/2020,12,15907.88
1/18/2020,13,15914.62
1/18/2020,14,15920.13
1/18/2020,15,16013
1/18/2020,16,16215.12
1/18/2020,17,16822.92
1/18/2020,18,17479.06
1/18/2020,19,17276.49
1/18/2020,20,16732.47
1/18/2020,21,16078.12
1/18/2020,22,15302.11
1/18/2020,23,14532.31
1/18/2020,24,13831.56
1/19/2020,1,13094.82
1/19/2020,2,12608.27
1/19/2020,3,12333.27
1/19/2020,4,12336.47
1/19/2020,5,12473.49
1/19/2020,6,12501.71
1/19/2020,7,12978.45
1/19/2020,8,13562.39
1/19/2020,9,14062.19
1/19/2020,10,14088.54
1/19/2020,11,13663.54
1/19/2020,12,13524.35
1/19/2020,13,13472.8
1/19/2020,14,13515.87
1/19/2020,15,13783.05
1/19/2020,16,14173.32
1/19/2020,17,14924.2
1/19/2020,18,15859.69
1/19/2020,19,15772.43
1/19/2020,20,15329.99
1/19/2020,21,14845.82
1/19/2020,22,14290.13
1/19/2020,23,13915.89
1/19/2020,24,13240.25
1/20/2020,1,12779.23
1/20/2020,2,13011.05
1/20/2020,3,13026.89
1/20/2020,4,13143.69
1/20/2020,5,13285.28
1/20/2020,6,13772.37
1/20/2020,7,14734.91
1/20/2020,8,15565.7
1/20/2020,9,16006.38
1/20/2020,10,15878.32
1/20/2020,11,15576.93
1/20/2020,12,15339.49
1/20/2020,13,15091.64
1/20/2020,14,15019.31
1/20/2020,15,15213.64
1/20/2020,16,15785.53
1/20/2020,17,16770.36
1/20/2020,18,17909.84
1/20/2020,19,17819.56
1/20/2020,20,17461.78
1/20/2020,21,16838.76
1/20/2020,22,15893.79
1/20/2020,23,14734.43
1/20/2020,24,13767.15
1/21/2020,1,13202.6
1/21/2020,2,12911.68
1/21/2020,3,12818.87
